RedSox							
65	Jonathan	1	t	458	25	88	122
285	35						
68	Matt	1	t	439	31	62	99
265	41						
32	Craig	1	f	421	32	61	133
270	39						
11	Clay	1	t	460	35	69	116
265	41						
46	Ryan	1	t	449	26	65	107
251	39						
51	Edwin	1	f	431	35	70	90
255	40						
37	Heath	1	t	461	34	58	120
256	42						
62	Rich	1	f	452	36	40	85
289	40						
61	Brian	1	f	437	28	65	118
264	35						
56	Joe	1	t	429	35	63	98
221	40						
59	Tommy	1	f	449	29	76	114
312	39						
64	Jean	1	t	463	48	41	103
289	36						
70	Roman	1	t	471	34	51	100
277	39						
20	Wade	1	f	425	40	54	80
282	42						
41	Alex	1	t	460	31	67	77
264	40						
60	Henry	1	f	441	29	81	127
281	41						
22	Rick	1	t	462	22	72	97
249	40						
66	Noe	1	t	449	30	67	88
248	40						
52	Eduardo	1	f	402	37	74	110
239	37						
28	Robbie	1	f	420	35	61	106
243	37						
36	Junichi	1	t	441	25	66	97
294	43						
19	Koji	1	t	400	31	52	124
260	39						
67	Brandon	1	t	431	28	73	134
231	41						
10	Ryan	2	t	651	48	90	231
447	105	32	6				
23	Blake	2	t	635	32	109	133
475	88	18	3				
7	Christian	2	t	659	37	129	216
458	105	34	7				
47	Travis	3	t	736	64	86	221
496	150	37	1				
48	Pablo	5	t	691	50	81	153
405	106	1	0				
13	Hanley	3	t	633	41	103	163
427	88	25	0				
15	Dustin	4	t	699	40	116	250
334	124	31	1				
26	Brock	4	t	1587	36	91	464
499	301	55	2				
5	Allen	3	t	719	44	119	138
421	66	2	1				
2	Xander	6	t	662	53	105	151
462	70	15	3				
50	Mookie	8	t	642	39	92	219
355	121	34	8				
25	Jackie	7	t	669	58	101	177
581	76	1	6				
38	Rusney	9	t	689	52	76	213
464	149	34	0				
34	David	3	f	624	69	109	119
439	61	1	7				
-1							
Yankees							
38	Andrew	1	t	427	24	74	131
234	41						
68	Dellin	1	t	400	37	72	95
292	35						
26	Chris	1	f	437	21	81	130
255	39						
65	Caleb	1	t	466	36	70	97
307	40						
30	Nathan	1	t	419	39	65	94
275	41						
74	Nick	1	t	459	36	88	101
259	36						
33	Chris	1	t	455	28	57	94
262	42						
48	Andrew	1	f	425	31	73	121
266	39						
55	Brian	1	t	461	28	53	84
300	37						
47	Ivan	1	t	490	26	56	119
282	39						
67	James	1	f	470	29	56	132
239	41						
57	Branden	1	t	458	24	80	117
233	41						
35	Michael	1	t	438	31	67	120
311	39						
50	Nick	1	t	469	26	68	105
254	41						
45	Chasen	1	f	439	20	66	81
267	39						
52	CC	1	f	437	25	54	119
257	39						
40	Luis	1	t	446	22	70	144
264	42						
19	Masahiro	1	t	462	34	29	98
215	36						
43	Adam	1	t	458	31	59	108
264	36						
41	Justin	1	f	402	29	54	114
276	39						
34	Brian	2	t	701	45	87	162
402	73	1	1				
66	John	2	t	642	64	89	165
477	101	23	1				
53	Austin	2	t	652	52	108	134
465	68	19	3				
73	Gary	2	t	780	47	73	213
